model,calibration,aggregation,threshold,segment_ece_before,segment_ece_after,segment_brier_before,segment_brier_after,val_accuracy,val_sensitivity,val_specificity,val_precision,val_f1,val_auroc,val_auprc,val_tp,val_fp,val_tn,val_fn,test_accuracy,test_sensitivity,test_specificity,test_precision,test_f1,test_auroc,test_auprc,test_tp,test_fp,test_tn,test_fn,temperature
gated,temperature,top3,0.886,0.07577760152880066,0.06417857870528923,0.05101963800192908,0.05145437895257871,0.9728317659352143,0.8859060402684564,0.9888613861386139,0.9361702127659575,0.9103448275862069,0.9763005662982405,0.9354923086678935,396,27,2397,51,0.9366157328805885,0.8299418604651163,0.952525471493605,0.7227848101265822,0.7726657645466847,0.9108362237155865,0.7035938354290121,571,219,4394,117,0.8402123065283448
gated,temperature,top5,0.781,0.07577760152880066,0.06417857870528923,0.05101963800192908,0.05145437895257871,0.9728317659352143,0.8859060402684564,0.9888613861386139,0.9361702127659575,0.9103448275862069,0.976543291913084,0.9373031841110795,396,27,2397,51,0.9358611582720241,0.8444767441860465,0.9494905701278994,0.7137592137592138,0.7736351531291611,0.9147250061756714,0.7129134677746277,581,233,4380,107,0.8402123065283448
gated,none,top3,0.859,0.07577760152880066,0.07577760152880066,0.05101963800192908,0.05101963800192908,0.9724834552420759,0.8814317673378076,0.9892739273927392,0.9380952380952381,0.908881199538639,0.9763365598304797,0.9355807425030124,394,26,2398,53,0.9371816638370118,0.8299418604651163,0.953175807500542,0.7255400254129606,0.7742372881355932,0.9109433527089771,0.7034603379807132,571,216,4397,117,
gated,isotonic,top3,0.638,0.07577760152880066,0.042536016025576565,0.05101963800192908,0.040061619663625286,0.9721351445489377,0.8903803131991052,0.9872112211221122,0.9277389277389277,0.908675799086758,0.9766180477108114,0.9401897498751693,398,31,2393,49,0.9332201471420487,0.8401162790697675,0.9471060047691308,0.7031630170316302,0.7655629139072848,0.9112894738832118,0.7041630777686094,578,244,4369,110,
gated,platt,top3,0.727,0.07577760152880066,0.04399417325391235,0.05101963800192908,0.04143550272523502,0.9721351445489377,0.8859060402684564,0.988036303630363,0.9317647058823529,0.908256880733945,0.9762544207440879,0.9353471389163539,396,29,2395,51,0.9351065836634598,0.8313953488372093,0.9505744634727943,0.715,0.7688172043010753,0.9108538684909684,0.7034759451832008,572,228,4385,116,
gated,beta_logistic,top3,0.705,0.07577760152880066,0.04268907125272763,0.05101963800192908,0.04045464235944863,0.9721351445489377,0.8859060402684564,0.988036303630363,0.9317647058823529,0.908256880733945,0.9761861253239418,0.9351273141781762,396,29,2395,51,0.9351065836634598,0.8313953488372093,0.9505744634727943,0.715,0.7688172043010753,0.910914049778432,0.7038067046647325,572,228,4385,116,
gated,platt,max,0.847,0.07577760152880066,0.04399417325391235,0.05101963800192908,0.04143550272523502,0.9693486590038314,0.8859060402684564,0.9847359735973598,0.9145496535796767,0.9,0.9747473069454595,0.9272471079948852,396,37,2387,51,0.9305791360120732,0.8255813953488372,0.9462388900932148,0.696078431372549,0.7553191489361702,0.9050878079643474,0.6739739551351772,568,248,4365,120,
gated,none,max,0.893,0.07577760152880066,0.07577760152880066,0.05101963800192908,0.05101963800192908,0.9690003483106931,0.8926174496644296,0.983085808580858,0.9068181818181819,0.8996617812852311,0.9747473069454595,0.9272471079948852,399,41,2383,48,0.9262403320128277,0.8430232558139535,0.9386516366789508,0.6720741599073001,0.7479045776918117,0.9050878079643474,0.6739739551351772,580,283,4330,108,
gated,temperature,max,0.926,0.07577760152880066,0.06417857870528923,0.05101963800192908,0.05145437895257871,0.9690003483106931,0.8926174496644296,0.983085808580858,0.9068181818181819,0.8996617812852311,0.9747473069454595,0.9272471079948852,399,41,2383,48,0.9262403320128277,0.8430232558139535,0.9386516366789508,0.6720741599073001,0.7479045776918117,0.9050878079643474,0.6739739551351772,580,283,4330,108,0.8402123065283448
gated,beta_logistic,max,0.8,0.07577760152880066,0.04268907125272763,0.05101963800192908,0.04045464235944863,0.9690003483106931,0.8926174496644296,0.983085808580858,0.9068181818181819,0.8996617812852311,0.9747473069454595,0.9272471079948852,399,41,2383,48,0.9262403320128277,0.8430232558139535,0.9386516366789508,0.6720741599073001,0.7479045776918117,0.9050878079643474,0.6739739551351772,580,283,4330,108,
